Content Manifest for Depot 323912

Manifest ID / date     : 6601287826999675823 / 2015-07-31 16:41:46
Total number of files  : 96
Total number of chunks : 238
Total bytes on disk    : 198923272
Total bytes compressed : 58507808

          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    64 bin
             0      0 0000000000000000000000000000000000000000    64 bin\win64
       1954304      2 966BF4E1E47BE1BAB943B74287E849ED1C472B2E     0 bin\win64\animationsystem.dll
        742400      1 7B6673D033D875347AC38F44C2B26FC6A6185F2B     0 bin\win64\ati_compress_wrapper.dll
        309248      1 8E2C3498044358C6E10D06412650CA9CD7904B8F     0 bin\win64\binkw64.dll
        309760      1 D32784E90DF7110E96B6F5BA7642D9CDF61F385D     0 bin\win64\bugreporter_filequeue.dll
        305664      1 BB16521AA5C668589F3981C658FB3CD887CB653E     0 bin\win64\configurationsystem.dll
        385960      1 96D8910F13F8820EB54D850B1EC55AB5E22B85E1     0 bin\win64\crashhandler64.dll
       2526056      3 207321F1B449985B2D06ED50B989FA6259E4EB8E     0 bin\win64\d3dcompiler_43.dll
       1907552      2 C28525D941F1DB5169CD56839559A3E9C0BB0C13     0 bin\win64\d3dcsx_43.dll
        276832      1 E35ACB15EA52F6CD0587B4CA8DA0486B859FD048     0 bin\win64\d3dx11_43.dll
       1558912      2 4EF5D229709E40F3F84E46C3A28341EADBD1A044     0 bin\win64\dbghelp.dll
       7227392      7 BF5FE6CC48E055BC0CEAE0C60B42449819B85EDF     0 bin\win64\engine2.dll
        671744      1 029F9B4694D1FF72FDD462D029C50B3B37E2590A     0 bin\win64\filesystem_stdio.dll
       1795584      2 33441DBCC754E32DE93EA47E70036D670087557D     0 bin\win64\icui18n.dll
       1795584      2 3018744E60DD6607E19275EAFAFD5EA4A83BC98F     0 bin\win64\icui18nx64.dll
       1414656      2 0FAA3B0FED45C220519F2C591882DAD8E3058809     0 bin\win64\icuuc.dll
       1414656      2 CCDF4D073B053D2044F60E2AB62CEC5B199B021A     0 bin\win64\icuucx64.dll
        313856      1 A25B393A582FDCDADBB60705295743A87E812605     0 bin\win64\imemanager.dll
        786432      1 20D97EDBACE0D0C2E258F5E3C0882809FBCD4A2F     0 bin\win64\inputsystem.dll
       2768384      3 F28E12A73C8E3B7AA0845105E8FE261A9728268F     0 bin\win64\libavcodec-56.dll
        560640      1 2B962DD9B88111F203C635E49318C6A8A4266CE0     0 bin\win64\libavformat-56.dll
        385024      1 87B6234C412F3800BA5EFD924ACACA2D1D7B150E     0 bin\win64\libavresample-2.dll
        487424      1 AFFBA65A334B400108F558E38E78A0EF2C6B0C8D     0 bin\win64\libavutil-54.dll
        481280      1 4D597BDE7208A4187F6E1FD860C91308D2308EF1     0 bin\win64\libfontconfig-1.dll
       1057792      2 18FABA902A04E9F750AA91D1FC2AFD3361D88A2E     0 bin\win64\libfreetype-6.dll
       1537536      2 BC79F26E6D71B52BDB3749FF538E5E4147730A02     0 bin\win64\libglib-2.0-0.dll
         89088      1 14D77EFDE95B8E5E9FF2E4987DF96C2E9C46BC83     0 bin\win64\libgmodule-2.0-0.dll
        323072      1 42A2865ECA2C3A785CBF4348F74D35913F9F09CD     0 bin\win64\libgobject-2.0-0.dll
        389120      1 74F4CC91E377988308695FA4570F64FDF1D2031B     0 bin\win64\libpango-1.0-0.dll
        378368      1 66E7215426719884A5094837AAA2FA6674B9C620     0 bin\win64\libpangoft2-1.0-0.dll
        564736      1 0AFE276D183FE728D69ACC398994F1E4BC736E28     0 bin\win64\libswscale-3.dll
        286720      1 F0770E6E7334E9A0593BEAD57FDC84F3FC518C8D     0 bin\win64\localize.dll
       1370624      2 1EFAC1E6931BAAF944731ADC49C5595B0B4DF1BB     0 bin\win64\materialsystem2.dll
       1284096      2 4DA4EB9C14CB2A639DDD6174EA7FFC7339076DC7     0 bin\win64\meshsystem.dll
        486912      1 FDB93B884203348F228F317FB0513BBC382B5245     0 bin\win64\mss64.dll
        740864      1 3BD9688411A021A013A9C3B624C69BD1ECA5C860     0 bin\win64\navsystem.dll
       2923520      3 DC4715F28DDC308CD88D602A58554867EF383A3F     0 bin\win64\networksystem.dll
         76288      1 8D69D38068806E41B369D3CAE44A8EA4269B168B     0 bin\win64\openvr_api.dll
       4860416      5 FFD0A5D720759F46295A7E901AA86DBEAC04133C     0 bin\win64\panorama.dll
       3118080      3 BB06F1CE3A85AC473DB1CBF5A741342A41DDB4DF     0 bin\win64\panoramauiclient.dll
       3987968      4 BC80B6E1C98A13D40EC51CB57BA64BA10C1BECD3     0 bin\win64\particles.dll
        556032      1 6E38AAE997B36221C6E9D6BDD8C42E2AC38A4739     0 bin\win64\phonon4.dll
         73728      1 34F9754A419CF0D6ECC2151C87F200C26DD3164F     0 bin\win64\qtassistantclient4.dll
       1982976      2 BA86CFD9CAF58F9253A6778206C59CBB85A429FC     0 bin\win64\qtclucene4.dll
       3648000      4 6B74B2AB285B94B9F0C0E1F6C9CFED48AB9B90C2     0 bin\win64\qtcore4.dll
       3858944      4 77D797F0A940031D07BC755A56B24F47CE5865DD     0 bin\win64\qtdeclarative4.dll
       6027264      6 E1277D5FBDF53626BD015790FDFDA89E0D24C2E0     0 bin\win64\qtdesigner4.dll
       3215872      4 4D890722AEA6ECDD60F618244161AAB2346AB78F     0 bin\win64\qtdesignercomponents4.dll
      11631616     12 D3A3B9A3185BA2BF7843050945BD354FE1FABA0B     0 bin\win64\qtgui4.dll
        837632      1 D7358F55576D157FCCE13CB9CFD578CEC883263C     0 bin\win64\qthelp4.dll
        295936      1 5E792122E972607DF3900A44F8CA39E8E5055E28     0 bin\win64\qtmultimedia4.dll
       1408512      2 CDB35E006100A83211E19C48FF5735DEE537758E     0 bin\win64\qtnetwork4.dll
       1192960      2 33349DA2288E7552CBE29212298664C4BEF1DA6E     0 bin\win64\qtopengl4.dll
       2202112      3 F5568E4C9EE124561AFB2C79E77E8AB992BE4783     0 bin\win64\qtscript4.dll
        988160      1 24D92623C4B422B4622A752649C45E065375846E     0 bin\win64\qtscripttools4.dll
        535040      1 975BD8A405E88874C40CCB8F136BB2B3809F8D53     0 bin\win64\qtsvg4.dll
        314880      1 915FCF3C0C9391DDE581C0A23FA27ACE8C2D45A9     0 bin\win64\qttest4.dll
      15001600     15 7DD2F57F5C43FBA7DD38BC346EA811A03948F30D     0 bin\win64\qtwebkit4.dll
        629248      1 F5AAE3AC48C436928B293A975E81C2F386334BE6     0 bin\win64\qtxml4.dll
        492544      1 5CBBFF07C987D91212237AE7A97EC008E884B732     0 bin\win64\renderingpipelines.dll
       1697792      2 3884C4BEDA6CF429CB33D6D5DC2D3682C47DD483     0 bin\win64\rendersystemdx11.dll
        706560      1 66DD71320EB5B95BE561DF9979C14EA07A8FEA0E     0 bin\win64\rendersystemempty.dll
       1966080      2 1ABE0F322D3AB33DF54E21D63016430DEEF08256     0 bin\win64\rendersystemgl.dll
        942080      1 25D627939DEADBB7DDE9E661478DB1ECEB66DEAD     0 bin\win64\resourcesystem.dll
        440832      1 8A7B5B9CB62C77B303509F159C7DF1B64E3AE04E     0 bin\win64\scenefilecache.dll
       3510784      4 DB24321C636EBA1FEA050BFBBBC2D5B4939BE4D8     0 bin\win64\scenesystem.dll
       1212416      2 2EFFE54D69FE2D85ECA2BE697BC83D945D6CDAE4     0 bin\win64\schemasystem.dll
        976896      1 D753102B7BF3ACB588A18734465CC1FDAC22290B     0 bin\win64\sdl2.dll
       1667584      2 C7D03CA1750DFC336E1BDB70063FB73E8E1CF68B     0 bin\win64\soundsystem.dll
        206248      1 BB416AD3131C5E34CA91957F0F52DA20D1A9FBA7     0 bin\win64\steam_api64.dll
             0      0 0000000000000000000000000000000000000000    64 bin\win64\subtools
        816640      1 475551B2650FB519019BAAE5EA9774C47FEBBC3C     0 bin\win64\subtools\bugreporter_subtool.dll
        333824      1 97B60A6E450E621A95E417FA1C93CA0917E6400D     0 bin\win64\subtools\convarhelper_subtool.dll
        416256      1 37732DDABDA2F6E74B6B78A07482540F59D238FB     0 bin\win64\subtools\gpuprofiler_subtool.dll
        446464      1 A07DAC34C048BA24D14DBD31CD22A773AC1EB4A5     0 bin\win64\subtools\resourcesystemprofiler_subtool.dll
        817664      1 DB9E0953EB0A440DE3E8A4FEB2287A6902ECCC26     0 bin\win64\subtools\scenesystemdebugger_subtool.dll
        149264      1 4B46DB2A99A47FF6A6EE376F4D79F5298BFF28A2     0 bin\win64\symsrv.dll
        704000      1 3B9F4A754E10A252F1D3846462C6563905F66EA6     0 bin\win64\tier0.dll
       5981184      6 D45B785C1C8227597FE290FCDF9E533D4D5095FA     0 bin\win64\v8.dll
        363520      1 A060B684245B47B3750690D190EE0BDD51C603EF     0 bin\win64\valve_avi.dll
        353280      1 BFB8FE7D571AF6349A26BA0674AC47FC46340D6D     0 bin\win64\valve_bink.dll
        210432      1 718FA352A3AEFB1BC3AA35FF922A204FD3E6749F     0 bin\win64\valve_wmf.dll
        324608      1 0131B7C89EB87708486A5489CB196335CE33010D     0 bin\win64\vconcomm.dll
       7042560      7 BD6B29DE8D017338B8A093787887A18672BA72B2     0 bin\win64\vconsole2.exe
       1459200      2 6D4663209B0198978AA4E50D5649C072AD9EE385     0 bin\win64\vfx_dx11.dll
       5768192      6 EB571B42EC878B75C2E230A702B2E0A57F4FB267     0 bin\win64\vfx_gl.dll
        808960      1 24665E0CCDF40BEDFD5FD9AD7A7C4D73FBEDD100     0 bin\win64\vgui2.dll
       1634304      2 2A5EC2B781E6B77FE5DF297E95C6DD383F4BA948     0 bin\win64\vguirendersurface.dll
       3166720      4 BD4D6DD460EC5E7EFA59233B720B67C9EC5C89F0     0 bin\win64\video64.dll
       2574848      3 6E8635DDA2FE7654E465C3B4F3FB1841894E6C14     0 bin\win64\vphysics2.dll
        493056      1 274458FB93FC3AE5FB9A2F85A77C2853D90639A0     0 bin\win64\vr.dll
        387072      1 DAB7CE6A1C81DEC2B62B21A8A8D3E8492051B8A5     0 bin\win64\vr.exe
       1027584      1 5C16F9BFFEFB88E60B0218603C6446E6ED278C52     0 bin\win64\vscript.dll
        659456      1 B5C8B46E20B04F5D929A24103B010575D1C1D879     0 bin\win64\vstdlib.dll
       1791488      2 5E61AD0F8EB7ACC6237207F936F5165452E8CE29     0 bin\win64\worldrenderer.dll
             0      0 0000000000000000000000000000000000000000    64 vr
             0      0 0000000000000000000000000000000000000000    64 vr\bin
             0      0 0000000000000000000000000000000000000000    64 vr\bin\win64
      14384128     14 CB9BC0F88CC1B1DDBCBFA3AFA77E284D72671BBD     0 vr\bin\win64\client.dll
       1879040      2 DC38A2599A75EB6DE4C76E585C19830016A8B57F     0 vr\bin\win64\host.dll
